dossier	chambre	stade	fichier	url
JORFDOLE000046382160	senat	Texte de la commission déposé le 30 novembre 2022	leg-ppl22-156.html	http://www.senat.fr/leg/ppl22-156.html
JORFDOLE000046590737	assemblee	Texte adopté, dans les conditions prévues à l'article 45, al. 3, de la Constitution, par l'Assemblée nationale le 28 février 2023	dyn-16-textes-l16t0081_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0081_texte-adopte-seance
JORFDOLE000046590737	assemblee	Texte de la commission déposé le 18 janvier 2023	dyn-16-textes-l16b0748_texte-adopte-commission	https://www.assemblee-nationale.fr/dyn/16/textes/l16b0748_texte-adopte-commission
JORFDOLE000046590737	assemblee	Texte modifié en 1ère lecture par l'Assemblée nationale le 24 janvier 2023	dyn-16-textes-l16t0067_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0067_texte-adopte-seance
JORFDOLE000046590737	senat	Texte adopté en 1ère lecture par le Sénat le 13 décembre 2022	leg-tas22-037.html	https://www.senat.fr/leg/tas22-037.html
JORFDOLE000046590737	senat	Texte adopté, dans les conditions prévues à l'article 45, al. 2 et 3, de la Constitution, par le Sénat le 16 février 2023	leg-tas22-062.html	https://www.senat.fr/leg/tas22-062.html
JORFDOLE000046590737	senat	Texte de la CMP déposé le 9 février 2023	leg-pjl22-340.html	https://www.senat.fr/leg/pjl22-340.html
JORFDOLE000046590737	senat	Texte de la commission déposé le 7 décembre 2022	leg-pjl22-187.html	https://www.senat.fr/leg/pjl22-187.html
JORFDOLE000047381960	assemblee	Proposition de loi	dyn-16-textes-l16b0790_proposition-loi-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b0790_proposition-loi#
JORFDOLE000047381960	assemblee	Texte adopté en 1ère lecture par l'Assemblée nationale le 30 mars 2023	dyn-16-textes-l16t0100_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0100_texte-adopte-seance
JORFDOLE000047381960	assemblee	Texte adopté, dans les conditions prévues à l'article 45, al. 3, de la Constitution, par l'Assemblée nationale le 31 mai 2023	dyn-16-textes-l16t0122_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0122_texte-adopte-seance
JORFDOLE000047381960	assemblee	Texte de la CMP déposé le 25 mai 2023	dyn-16-textes-l16b1278_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b1278_texte-adopte-commission#
JORFDOLE000047381960	assemblee	Texte de la commission déposé le 22 mars 2023	dyn-16-textes-l16b1006_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b1006_texte-adopte-commission#
JORFDOLE000047381960	senat	Texte adopté, dans les conditions prévues à l'article 45, al. 2 et 3, de la Constitution, par le Sénat le 1er juin 2023	leg-tas22-123.html	https://www.senat.fr/leg/tas22-123.html
JORFDOLE000047381960	senat	Texte de la commission déposé le 3 mai 2023	leg-ppl22-563.html	https://www.senat.fr/leg/ppl22-563.html
JORFDOLE000047381960	senat	Texte modifié en 1ère lecture par le Sénat le 9 mai 2023	leg-tas22-105.html	https://www.senat.fr/leg/tas22-105.html
JORFDOLE000047533100	assemblee	Texte adopté, dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par l'Assemblée nationale le 10 avril 2024	dyn-16-textes-l16t0286_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0286_texte-adopte-seance
JORFDOLE000047533100	assemblee	Texte de la comission déposé le 21 septembre 2023	dyn-16-textes-l16b1674_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b1674_texte-adopte-commission#
JORFDOLE000047533100	assemblee	Texte modifié en 1ère lecture par l'Assemblée nationale le 17 octobre 2023	dyn-16-textes-l16t0175_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0175_texte-adopte-seance
JORFDOLE000047533100	senat	Texte adopté en 1ère lecture par le Sénat le 5 juillet 2023	leg-tas22-156.html	https://www.senat.fr/leg/tas22-156.html
JORFDOLE000047533100	senat	Texte adopté, dans les conditions prévues à l’article 45 (alinéas 2 et 3) de la Constitution, par le Sénat, le 2 avril 2024	leg-tas23-103.html	https://www.senat.fr/leg/tas23-103.html
