JORFDOLE000031278667	2015-2016	045
JORFDOLE000031278667	2015-2016	128
JORFDOLE000031278667	2015-2016	134
JORFDOLE000031278667	2015-2016	191
JORFDOLE000031589829	2015-2016	325
JORFDOLE000031589829	2015-2016	534
JORFDOLE000031589829	2015-2016	535
JORFDOLE000031589829	2015-2016	744
JORFDOLE000031974277	2015-2016	445
JORFDOLE000031974277	2015-2016	491
JORFDOLE000031974277	2015-2016	492
JORFDOLE000031974277	2015-2016	606
JORFDOLE000031978450	2015-2016	370
JORFDOLE000031978450	2015-2016	430
JORFDOLE000031978450	2015-2016	431
JORFDOLE000031978450	2015-2016	541
JORFDOLE000031983191	2015-2016	225
JORFDOLE000031983191	2015-2016	332
JORFDOLE000031983191	2015-2016	334
JORFDOLE000031983191	2015-2016	633
JORFDOLE000031983191	2015-2016	634
JORFDOLE000031983191	2016-2017	254
JORFDOLE000031983191	2016-2017	256
JORFDOLE000032319792	2015-2016	691
JORFDOLE000032319792	2015-2016	712
JORFDOLE000032319792	2015-2016	713
JORFDOLE000032319792	2016-2017	079
JORFDOLE000032319792	2016-2017	80
JORFDOLE000032539659	2015-2016	504
JORFDOLE000032539659	2015-2016	592
JORFDOLE000032539659	2015-2016	593
JORFDOLE000032539659	2016-2017	004
JORFDOLE000032539659	2016-2017	005
JORFDOLE000032539659	2016-2017	5
JORFDOLE000032669047	2016-2017	016
JORFDOLE000032669047	2016-2017	189
JORFDOLE000032669047	2016-2017	190
JORFDOLE000032669047	2016-2017	301
JORFDOLE000032921896	2015-2016	810
JORFDOLE000032921896	2016-2017	060
JORFDOLE000032921896	2016-2017	061
JORFDOLE000032921896	2016-2017	169
JORFDOLE000032921896	2016-2017	61
JORFDOLE000035518975	2017-2018	021
JORFDOLE000035518975	2017-2018	042
JORFDOLE000035518975	2017-2018	043
JORFDOLE000035518975	2017-2018	124
JORFDOLE000035518975	2017-2018	156
JORFDOLE000035518975	2017-2018	43
JORFDOLE000036195293	2017-2018	296
JORFDOLE000036195293	2017-2018	344
JORFDOLE000036195293	2017-2018	350
JORFDOLE000036195293	2017-2018	351
JORFDOLE000036195293	2017-2018	441
JORFDOLE000036195293	2017-2018	442
JORFDOLE000036562265	2017-2018	570
JORFDOLE000036562265	2017-2018	571
JORFDOLE000036562265	2017-2018	714
JORFDOLE000036562265	2017-2018	715
JORFDOLE000036769798	2017-2018	567
JORFDOLE000036769798	2017-2018	630
JORFDOLE000036769798	2017-2018	631
JORFDOLE000036769798	2017-2018	721
JORFDOLE000036843606	2001-2002	320
JORFDOLE000037080861	2018-2019	089
JORFDOLE000037080861	2018-2019	207
JORFDOLE000037080861	2018-2019	254
JORFDOLE000037080861	2018-2019	255
JORFDOLE000037080861	2018-2019	415
JORFDOLE000037320052	2001-2002	321
JORFDOLE000037320571	2001-2002	045
JORFDOLE000037646678	2018-2019	350
JORFDOLE000037646678	2018-2019	368
JORFDOLE000037646678	2018-2019	369
JORFDOLE000037646678	2018-2019	662
JORFDOLE000037646678	2019-2020	021
JORFDOLE000037646678	2019-2020	085
JORFDOLE000037775649	2018-2019	070
JORFDOLE000037775649	2018-2019	183
JORFDOLE000037775649	2018-2019	310
JORFDOLE000037775649	2018-2019	311
JORFDOLE000037775649	2019-2020	096
JORFDOLE000037775649	2019-2020	463
JORFDOLE000037775649	2019-2020	464
JORFDOLE000037775649	2019-2020	587
JORFDOLE000038282514	2018-2019	417
JORFDOLE000038282514	2018-2019	440
JORFDOLE000038282514	2018-2019	441
JORFDOLE000038282514	2018-2019	508
JORFDOLE000038357854	2018-2019	501
JORFDOLE000038357854	2018-2019	502
JORFDOLE000038357854	2018-2019	737
JORFDOLE000038357854	2018-2019	738
JORFDOLE000038430994	2018-2019	622
JORFDOLE000038430994	2018-2019	657
JORFDOLE000038430994	2018-2019	658
JORFDOLE000038430994	2018-2019	700
JORFDOLE000038746653	2018-2019	148
JORFDOLE000038746653	2018-2019	660
JORFDOLE000038746653	2018-2019	682
JORFDOLE000038746653	2018-2019	727
JORFDOLE000038746653	2018-2019	728
JORFDOLE000038746653	2019-2020	054
JORFDOLE000038746653	2019-2020	230
JORFDOLE000038746653	2019-2020	231
JORFDOLE000039451785	2019-2020	073
JORFDOLE000039451785	2019-2020	178
JORFDOLE000039451785	2019-2020	341
JORFDOLE000039451785	2019-2020	342
JORFDOLE000041534356	2019-2020	074
JORFDOLE000041534356	2019-2020	307
JORFDOLE000041534356	2019-2020	358
JORFDOLE000041534356	2019-2020	359
JORFDOLE000041534356	2020-2021	010
JORFDOLE000041534356	2020-2021	066
JORFDOLE000041534356	2020-2021	067
JORFDOLE000041566073	2019-2020	120
JORFDOLE000041566073	2019-2020	314
JORFDOLE000041566073	2019-2020	534
JORFDOLE000041566073	2019-2020	552
JORFDOLE000041566073	2019-2020	553
JORFDOLE000041566073	2020-2021	023
JORFDOLE000041566073	2020-2021	069
