dossier	type	rang	url
JORFDOLE000036769798	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2018/ei_pjl_evolution_logement_amenagement_numerique_elan.pdf
JORFDOLE000037080861	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2018/ei_ecot1810669l_pjl_pacte_cm_18.06.2018.pdf
JORFDOLE000038357854	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2019/avis_ce_mice1906427l_pjl_modernisation_distribution_presse_cm_10.04.2019.pdf
JORFDOLE000038357854	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2019/ei_mice1906427l_pjl_modernisation_distribution_presse_cm_10.04.2019.pdf
JORFDOLE000038430994	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2019/avis_ce_trex1911204l_pjl_energie_climat_cm_30.04.2019.pdf
JORFDOLE000038746653	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2019/avis_ce_trep1902395l_pjl_economie_circulaire_cm_10.07.2019.pdf
JORFDOLE000038746653	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2020/ei_trep1902395l_cm_10.07.2019.pdf
JORFDOLE000041534356	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2020/avis_ce_ecox1935404l_cm_5.02.2020.pdf
JORFDOLE000041534356	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2020/ei_ecox1935404l_cm_5.02.2020.pdf
JORFDOLE000041893160	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2020/avis_ce_prmx2009367l_cm_7.05.2020.pdf
JORFDOLE000041893160	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2020/ei_prmx2009367l_cm_7.05.2020.pdf
JORFDOLE000043113774	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2021/avis_ce_trex2100379l_cm_10.02.2021.pdf
JORFDOLE000043113774	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2021/ei_-trex2100379l_cm_10.02.2021.pdf
JORFDOLE000043370379	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2021/avis_ce_trek2107676l_cm_14.04.2021.pdf
JORFDOLE000043370379	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2021/ei_trek2107676l_cm_14.04.2021.pdf
JORFDOLE000044125588	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2021/avis_ce_ecoi2122201l_cm_29.09.2021.pdf
JORFDOLE000044125588	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2021/ei_ecoi2122201l_cm_29.09.2021.pdf
JORFDOLE000046027237	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2022/avis_ce_ecox2217989l_cm_7.07.2022.pdf
JORFDOLE000046027237	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2022/ei_ecox2217989l_cm_7.07.2022.pdf
JORFDOLE000046590737	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2022/avis_ce_ecox2229741l_cm_23.11.2022.pdf
JORFDOLE000046590737	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2022/ei_ecox2229741l_cm_23.11.2022.pdf
